#,Name,Rating,Address,Phone,Price,Categories
102,Tampico NYC,5.0,"10 Delancey St, New York, NY 10002",,N/A,"Mexican, Sports Bars, Cocktail Bars"
103,Los Tacos No. 1,4.5,"136 Church St, New York, NY 10007",,$$,Tacos
104,Mi Mariachi Taqueria,4.5,"213 Sip Ave, Jersey City, NJ 07306",+12012221998,$,Mexican
105,Tacoomar,5.0,"227 Prospect Park W, Brooklyn, NY 11215",+13474576171,N/A,"Tacos, Desserts, Salad"
106,Tamale Lady,5.0,"37 E 39th St, New York, NY 10016",,$,"Mexican, Food Stands"
107,Amaranto Mexican Restaurant,4.5,"887 Hart St, Brooklyn, NY 11237",+17185766001,$$,Mexican
108,Summer Salt,4.5,"30 East 23rd St, New York, NY 10010",+12122090648,N/A,"Tacos, New Mexican Cuisine"
109,Despaña Fine Foods & Tapas Cafe,4.5,"408 Broome St, New York, NY 10013",+12122195050,$$,Spanish
110,Antojito Mexicano,4.5,"6th Avenue & 28th Street, New York, NY 10001",,$,"Mexican, Food Stands"
111,Guevara's,4.5,"319 Kent Ave, New York, NY 11249",,N/A,"Vegan, Coffee & Tea, Mexican"
112,Tiny's Cantina,4.5,"229 Flatbush Ave, Brooklyn, NY 11217",+17189707007,$$,"Mexican, Cocktail Bars"
113,Panchitas Place,4.5,"709 5th Ave, Brooklyn, NY 11215",+19179090404,$$,"Bars, Breakfast & Brunch, Mexican"
114,Grand Canyon Restaurant,4.5,"143 Montague St, Brooklyn, NY 11201",+13478896670,$$,"American, Mexican, Diners"
115,El Jeffe,4.5,"1483 Fulton St, Brooklyn, NY 11216",+13473658919,$$,New Mexican Cuisine
116,For All Things Good,4.5,"343 Franklin Ave, Brooklyn, NY 11238",,$$,"Cafes, Mexican"
117,Miti Miti,4.0,"138 5th Ave, Brooklyn, NY 11217",+17182303760,$$,"Latin American, Mexican, Breakfast & Brunch"
118,Super Burrito,4.0,"320 Bedford Ave, Brooklyn, NY 11249",+13475990533,N/A,Tacos
119,Ponche Taqueria & Cantina,4.0,"420 W 49th St, New York, NY 10019",+12125811235,$$,Mexican
120,Tacos El Bronco,4.0,"4324 4th Ave, Brooklyn, NY 11220",+17187882229,$$,"Mexican, Seafood, Cocktail Bars"
121,Casa Publica,4.0,"594 Union Ave, Brooklyn, NY 11211",+17183883555,$$$,"Mexican, Cocktail Bars, Breakfast & Brunch"
122,16 de Septiembre,5.0,"1524 2nd Ave, New York, NY 10075",,N/A,"Food Trucks, Mexican"
123,The Taco Bar,4.5,"312 Tompkins Ave, New York, NY 11216",,N/A,"New Mexican Cuisine, Tacos, Cocktail Bars"
124,EL Burrito Box,4.0,"885 9th Ave, New York, NY 10019",+12124896889,$$,"Mexican, Tex-Mex"
125,Toro Loco,4.0,"15 Stone St, New York, NY 10004",+19172620444,$$,"Cocktail Bars, Mexican, Breakfast & Brunch"
126,Mayamezcal,4.0,"304 E 6th St, New York, NY 10003",+12122535888,$$,"Mexican, Cocktail Bars"
127,Yuca Bar,4.0,"111 Avenue A, New York, NY 10009",+12129829533,$$,"Latin American, Tapas Bars, Cocktail Bars"
128,Chavela's,4.0,"736 Franklin Ave, Brooklyn, NY 11238",+17186223100,$$,"Mexican, Bars"
129,B'klyn Burro,4.0,"922 Fulton St, Brooklyn, NY 11238",+17186228776,$$,Mexican
130,Pink Taco,4.0,"7 Times Sq, New York, NY 10036",+12123158226,$$,"Tacos, Bars, Breakfast & Brunch"
131,Taqueria Gramercy,4.0,"218 3rd Ave, New York, NY 10003",+16463706435,$$,"Bars, Tacos"
132,El Camion,4.0,"194 Ave A, New York, NY 10009",+12125335436,$$,Mexican
133,Street Taco,4.0,"358 3rd Ave, New York, NY 10016",+16467915413,$$,"Cocktail Bars, Tacos, Beer Bar"
134,MEXiCUE,4.0,"1440 Broadway, New York, NY 10018",+13322498600,$$,Mexican
135,Rosie's,4.0,"29 E 2nd St, New York, NY 10003",+12123350114,$$,Mexican
136,Bar Tulix,4.0,"25 W Houston St, New York, NY 10012",+12123347320,N/A,"Mexican, Seafood"
137,El Parador Cafe,4.0,"325 E 34th St, New York, NY 10016",+12126796812,$$$,"Mexican, Venues & Event Spaces, Cocktail Bars"
138,Tacombi,4.0,"255 Bleecker St, New York, NY 10014",+16469645984,$$,"Juice Bars & Smoothies, Tacos"
139,Barrio Chino,4.0,"253 Broome St, New York, NY 10002",+12122286710,$$,"Mexican, Bars"
140,Orale Mexican Kitchen,4.0,"341 Grove St, Jersey City, NJ 07302",+12013330001,$$,"Mexican, Cocktail Bars"
141,El Mexicano Restaurant & Coffee,4.0,"2102 E 15th St, Brooklyn, NY 11229",+17186762700,$,Mexican
142,Havana Central,4.0,"151 W 46th St, New York, NY 10036",+12123987440,$$,"Cuban, Latin American, Wine Bars"
143,Bar Bruno,4.0,"520 Henry St, Brooklyn, NY 11231",+13477630850,$$,"New American, Mexican, Bars"
144,Casa Carmen,4.0,"114 Franklin St, New York, NY 10013",+19175405500,N/A,Mexican
145,Fonda Park Slope,4.0,"434 7th Ave, Brooklyn, NY 11215",+17183693144,$$$,"Mexican, Salad, Breakfast & Brunch"
146,Toloache 82nd,4.0,"166 E 82nd St, New York, NY 10028",+12128614505,$$$,"Mexican, Tex-Mex"
147,Aldama,4.0,"91 S 6th St, Brooklyn, NY 11249",+19292980233,N/A,"Mexican, Cocktail Bars"
148,Ofrenda,4.0,"113 7th Ave S, New York, NY 10014",+12129242305,$$,"Mexican, Breakfast & Brunch"
149,Mezcali,4.0,"83 Maiden Ln, New York, NY 10038",+19174095881,$$,"Tacos, Tapas/Small Plates, Cocktail Bars"
150,Mad Dog & Beans Mexican Cantina,4.0,"5 E 38th St, New York, NY 10016",+16469985722,$$,Mexican
