#,Name,Rating,Phone,Price,Categories,Address,DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
,,,,,,"100 west 23rd treet manhattan , ny 10011",GREAT BURRITO RESTAURANT,100,WEST 23 STREET,Manhattan,10011.0,100 WEST 23 STREET Manhattan 10011,Mexican,10/13/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10.0,A,10/13/22,12/4/23,40.7430739,-73.993237
,,,,,,"1000s 8th avenue manhattan, ny 10019",CRIOLLAS BAKED EMPANADAS,1000S,8 AVENUE,Manhattan,10019.0,1000S 8 avenue Manhattan 10019,Mexican,3/13/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,3/13/23,12/4/23,40.7668122,-73.982809
,,,,,,"101 maiden lane manhattan, ny 10038",DOS TOROS,101,MAIDEN LANE,Manhattan,10038.0,101 MAIDEN LANE Manhattan 10038,Mexican,3/1/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10.0,A,3/1/23,12/4/23,40.7069555,-74.007091
,,,,,,"101 maiden lane manhattan, ny 10038",DOS TOROS,101,MAIDEN LANE,Manhattan,10038.0,101 MAIDEN LANE Manhattan 10038,Mexican,3/1/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,3/1/23,12/4/23,40.7069555,-74.007091
,,,,,,"101 maiden lane manhattan, ny 10038",DOS TOROS,101,MAIDEN LANE,Manhattan,10038.0,101 MAIDEN LANE Manhattan 10038,Mexican,5/25/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,5/25/22,12/4/23,40.7069555,-74.007091
,,,,,,"101 maiden lane manhattan, ny 10038",DOS TOROS,101,MAIDEN LANE,Manhattan,10038.0,101 MAIDEN LANE Manhattan 10038,Mexican,5/25/22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,11.0,A,5/25/22,12/4/23,40.7069555,-74.007091
101.0,El Mexicano Restaurante & Cafe,5.0,19177899823.0,,"Mexican, Juice Bars & Smoothies, Fast Food","1013 east 14th street, brooklyn, ny 11230",,,,,,,,,,,,,,,,,,
42.0,Yellow Rose,4.5,12125298880.0,,Tex-Mex,"102 3rd avenue, manhattan, ny 10003",,,,,,,,,,,,,,,,,,
,,,,,,"102 norfolk street manhattan, ny 10002",LA CONTENTA,102,NORFOLK STREET,Manhattan,10002.0,102 NORFOLK STREET Manhattan 10002,Mexican,3/13/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,3/13/23,12/4/23,40.7188124,-73.987125
,,,,,,"102 norfolk street manhattan, ny 10002",LA CONTENTA,102,NORFOLK STREET,Manhattan,10002.0,102 NORFOLK STREET Manhattan 10002,Mexican,3/13/23,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,13.0,A,3/13/23,12/4/23,40.7188124,-73.987125
20.0,La Contenta,4.5,12124324180.0,$$,"Mexican, Bars, Breakfast & Brunch","102 norfolk street, manhattan ny 10002",,,,,,,,,,,,,,,,,,
,,,,,,"106 kenmare street manhattan , ny 10012","LA ESQUINA ""THE CORNER""",106,KENMARE STREET,Manhattan,10012.0,106 KENMARE STREET Manhattan 10012,Mexican,11/21/22,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,16.0,B,11/21/22,12/4/23,40.7214536,-73.997457
,,,,,,"106 kenmare street manhattan, ny 10012","LA ESQUINA ""THE CORNER""",106,KENMARE STREET,Manhattan,10012.0,106 KENMARE STREET Manhattan 10012,Mexican,11/21/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,16.0,B,11/21/22,12/4/23,40.7214536,-73.997457
,,,,,,"106 kenmare street manhattan, ny 10012","LA ESQUINA ""THE CORNER""",106,KENMARE STREET,Manhattan,10012.0,106 KENMARE STREET Manhattan 10012,Mexican,11/21/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,16.0,B,11/21/22,12/4/23,40.7214536,-73.997457
,,,,,,"106 kenmare street manhattan, ny 10012","LA ESQUINA ""THE CORNER""",106,KENMARE STREET,Manhattan,10012.0,106 KENMARE STREET Manhattan 10012,Mexican,11/21/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,16.0,B,11/21/22,12/4/23,40.7214536,-73.997457
,,,,,,"106 kenmare street manhattan, ny 10012","LA ESQUINA ""THE CORNER""",106,KENMARE STREET,Manhattan,10012.0,106 KENMARE STREET Manhattan 10012,Mexican,11/21/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,16.0,B,11/21/22,12/4/23,40.7214536,-73.997457
,,,,,,"106 kenmare street manhattan, ny 10012","LA ESQUINA ""THE CORNER""",106,KENMARE STREET,Manhattan,10012.0,106 KENMARE STREET Manhattan 10012,Mexican,11/21/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,16.0,B,11/21/22,12/4/23,40.7214536,-73.997457
,,,,,,"106 norfolk street manhattan, ny 10002",106 LA CONTENTA,106,NORFOLK STREET,Manhattan,10002.0,106 NORFOLK STREET Manhattan 10002,Mexican,4/25/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,4/25/23,12/4/23,40.718903,-73.987078
,,,,,,"11 carmine street manhattan, ny 10014",DOS TOROS,11,CARMINE STREET,Manhattan,10014.0,11 CARMINE STREET Manhattan 10014,Mexican,6/6/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,6/6/22,12/4/23,40.7304152,-74.002201
,,,,,,"11 carmine street manhattan, ny 10014",DOS TOROS,11,CARMINE STREET,Manhattan,10014.0,11 CARMINE STREET Manhattan 10014,Mexican,6/21/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9.0,A,6/21/23,12/4/23,40.7304152,-74.002201
,,,,,,"11 carmine street manhattan, ny 10014",DOS TOROS,11,CARMINE STREET,Manhattan,10014.0,11 CARMINE STREET Manhattan 10014,Mexican,6/6/22,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12.0,A,6/6/22,12/4/23,40.7304152,-74.002201
,,,,,,"11 carmine street manhattan, ny 10014",DOS TOROS,11,CARMINE STREET,Manhattan,10014.0,11 CARMINE STREET Manhattan 10014,Mexican,6/6/22,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12.0,A,6/6/22,12/4/23,40.7304152,-74.002201
,,,,,,"11 carmine street manhattan, ny 10014",DOS TOROS,11,CARMINE STREET,Manhattan,10014.0,11 CARMINE STREET Manhattan 10014,Mexican,6/6/22,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12.0,A,6/6/22,12/4/23,40.7304152,-74.002201
,,,,,,"11 carmine street manhattan, ny 10014",DOS TOROS,11,CARMINE STREET,Manhattan,10014.0,11 CARMINE STREET Manhattan 10014,Mexican,6/21/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,6/21/23,12/4/23,40.7304152,-74.002201
,,,,,,"11 carmine street manhattan, ny 10014",DOS TOROS,11,CARMINE STREET,Manhattan,10014.0,11 CARMINE STREET Manhattan 10014,Mexican,6/6/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,6/6/22,12/4/23,40.7304152,-74.002201
,,,,,,"11 doyers street manhattan, ny 10013",BLUE AGAVE,11,DOYERS STREET,Manhattan,10013.0,11 DOYERS STREET Manhattan 10013,Mexican,11/16/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,11/16/22,12/4/23,40.7144956,-73.998128
,,,,,,"11 west 8 street manhattan, ny 10011",EVA'S x CINCO DE MAYO,11,WEST 8 STREET,Manhattan,10011.0,11 WEST 8 STREET Manhattan 10011,Mexican,5/3/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,5/3/22,12/4/23,40.7325204,-73.996973
,,,,,,"11 west 8th street manhattan, ny 10011",EVA'S x CINCO DE MAYO,11,WEST 8 STREET,Manhattan,10011.0,11 WEST 8 STREET Manhattan 10011,Mexican,5/3/22,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12.0,A,5/3/22,12/4/23,40.7325204,-73.996973
,,,,,,"11 west 8th street manhattan, ny 10011",EVA'S x CINCO DE MAYO,11,WEST 8 STREET,Manhattan,10011.0,11 WEST 8 STREET Manhattan 10011,Mexican,5/31/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7.0,A,5/31/23,12/4/23,40.7325204,-73.996973
,,,,,,"11 west 8th street manhattan, ny 10011",EVA'S x CINCO DE MAYO,11,WEST 8 STREET,Manhattan,10011.0,11 WEST 8 STREET Manhattan 10011,Mexican,5/31/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,5/31/23,12/4/23,40.7325204,-73.996973
,,,,,,"110 avenue of the americas manhattan, ny 10013",LUPE'S EAST L.A. KITCHEN,110,AVENUE OF THE AMERICAS,Manhattan,10013.0,110 avenue OF THE AMERICAS Manhattan 10013,Mexican,2/11/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,0.0,A,2/11/22,12/4/23,40.7236795,-74.004719
,,,,,,"110 avenue of the americas manhattan, ny 10013",LUPE'S EAST L.A. KITCHEN,110,AVENUE OF THE AMERICAS,Manhattan,10013.0,110 avenue OF THE AMERICAS Manhattan 10013,Mexican,2/11/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,0.0,A,2/11/22,12/4/23,40.7236795,-74.004719
,,,,,,"110 avenue of the americas manhattan, ny 10013",LUPE'S EAST L.A. KITCHEN,110,AVENUE OF THE AMERICAS,Manhattan,10013.0,110 avenue OF THE AMERICAS Manhattan 10013,Mexican,2/11/22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,0.0,A,2/11/22,12/4/23,40.7236795,-74.004719
127.0,Yuca Bar,4.0,12129829533.0,$$,"Latin American, Tapas Bars, Cocktail Bars","111 avenue a, manhattan, ny 10009",,,,,,,,,,,,,,,,,,
,,,,,,"111 avenue c manhattan, ny 10009",SAN LOCO,111,AVENUE C,Manhattan,10009.0,111 avenue C Manhattan 10009,Mexican,9/7/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,2.0,A,9/7/22,12/4/23,40.7242677,-73.978732
,,,,,,"111 stanton street manhattan, ny 10002",SAN LOCO,111,STANTON STREET,Manhattan,10002.0,111 STANTON STREET Manhattan 10002,Mexican,7/27/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,0.0,A,7/27/22,12/4/23,40.7210933,-73.987366
,,,,,,"111 stanton street manhattan, ny 10002",SAN LOCO,111,STANTON STREET,Manhattan,10002.0,111 STANTON STREET Manhattan 10002,Mexican,7/27/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,0.0,A,7/27/22,12/4/23,40.7210933,-73.987366
,,,,,,"111 stanton street manhattan, ny 10002",SAN LOCO,111,STANTON STREET,Manhattan,10002.0,111 STANTON STREET Manhattan 10002,Mexican,7/27/22,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry is worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,0.0,A,7/27/22,12/4/23,40.7210933,-73.987366
,,,,,,"111 stanton street manhattan, ny 10002",SAN LOCO,111,STANTON STREET,Manhattan,10002.0,111 STANTON STREET Manhattan 10002,Mexican,7/27/22,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,0.0,A,7/27/22,12/4/23,40.7210933,-73.987366
,,,,,,"111 stanton street manhattan, ny 10002",SAN LOCO,111,STANTON STREET,Manhattan,10002.0,111 STANTON STREET Manhattan 10002,Mexican,2/23/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2/23/23,12/4/23,40.7210933,-73.987366
,,,,,,"111 stanton street manhattan, ny 10002",SAN LOCO,111,STANTON STREET,Manhattan,10002.0,111 STANTON STREET Manhattan 10002,Mexican,7/27/22,Violations were cited in the following area(s).,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",Critical,0.0,A,7/27/22,12/4/23,40.7210933,-73.987366
73.0,Acapulco Restaurant,4.0,17183498429.0,$,"Mexican, Sandwiches, New American","1116 manhattan avenue, ste 2-l, brooklyn, ny 11222",,,,,,,,,,,,,,,,,,
148.0,Ofrenda,4.0,12129242305.0,$$,"Mexican, Breakfast & Brunch","113 7th ave south, manhattan, ny 10014",,,,,,,,,,,,,,,,,,
,,,,,,"113 7th avenue south manhattan, ny 10014",OFRENDA,113,7 AVENUE SOUTH,Manhattan,10014.0,113 7 avenue SOUTH Manhattan 10014,Mexican,4/18/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,11.0,A,4/18/23,12/4/23,40.7338791,-74.002634
,,,,,,"113 7th avenue south manhattan, ny 10014",OFRENDA,113,7 AVENUE SOUTH,Manhattan,10014.0,113 7 avenue SOUTH Manhattan 10014,Mexican,4/18/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,4/18/23,12/4/23,40.7338791,-74.002634
,,,,,,"113 7th avenue south manhattan,ny 10014",OFRENDA,113,7 AVENUE SOUTH,Manhattan,10014.0,113 7 avenue SOUTH Manhattan 10014,Mexican,4/18/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,4/18/23,12/4/23,40.7338791,-74.002634
,,,,,,"113 east 31st street manhattan, ny 10016",Eva's x Cinco De Mayo,113,EAST 31 STREET,Manhattan,10016.0,113 east 31 STREET Manhattan 10016,Mexican,3/30/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,3/30/22,12/4/23,40.7448842,-73.982013
,,,,,,"113 east 31st street manhattan, ny 10016",Eva's x Cinco De Mayo,113,EAST 31 STREET,Manhattan,10016.0,113 east 31 STREET Manhattan 10016,Mexican,3/30/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,3/30/22,12/4/23,40.7448842,-73.982013
,,,,,,"114 franklin street manhattan, ny 10013",CASA CARMEN,114,FRANKLIN STREET,Manhattan,10013.0,114 FRANKLIN STREET Manhattan 10013,Mexican,5/10/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,5/10/23,12/4/23,40.7186263,-74.006082
,,,,,,"114 franklin street manhattan, ny 10013",CASA CARMEN,114,FRANKLIN STREET,Manhattan,10013.0,114 FRANKLIN STREET Manhattan 10013,Mexican,5/10/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13.0,A,5/10/23,12/4/23,40.7186263,-74.006082
144.0,Casa Carmen,4.0,19175405500.0,,Mexican,"114 franklin street, manhattan, ny 10013",,,,,,,,,,,,,,,,,,
,,,,,,"115 delancey street manhattan, ny 10002",TAQUERIA NIXTAMAL,115,DELANCEY STREET,Manhattan,10002.0,115 DELANCEY STREET Manhattan 10002,Mexican,10/26/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10.0,A,10/26/22,12/4/23,40.7185023,-73.988085
,,,,,,"115 delancey street manhattan, ny 10002",TAQUERIA NIXTAMAL,115,DELANCEY STREET,Manhattan,10002.0,115 DELANCEY STREET Manhattan 10002,Mexican,10/26/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,10.0,A,10/26/22,12/4/23,40.7185023,-73.988085
31.0,Taqueria Nixtamal,4.5,19176004732.0,,Tacos,"115 delancey street, manhattan, ny 10002",,,,,,,,,,,,,,,,,,
,,,,,,"118 east 116th street manhattan, ny 10029",IL GNOCCHI RESTAURANT,118,EAST 116 STREET,Manhattan,10029.0,118 east 116 STREET Manhattan 10029,Mexican,1/31/23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,7.0,A,1/31/23,12/4/23,40.7989429,-73.942416
,,,,,,"118 east 116th street manhattan, ny 10029",IL GNOCCHI RESTAURANT,118,EAST 116 STREET,Manhattan,10029.0,118 east 116 STREET Manhattan 10029,Mexican,1/31/23,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,7.0,A,1/31/23,12/4/23,40.7989429,-73.942416
48.0,Taqueria Al Pastor,4.0,13472944381.0,$$,Mexican,"119 court street, brooklyn, ny 11201",,,,,,,,,,,,,,,,,,
35.0,Jajaja Mexicana,4.5,18604792872.0,$$,"Mexican, Vegan, Cocktail Bars","119 kent avenue, brooklyn, ny 11249",,,,,,,,,,,,,,,,,,
,,,,,,"119 west 40th street manhattan, ny 10018",DOS TOROS,119,WEST 40 STREET,Manhattan,10018.0,119 WEST 40 STREET Manhattan 10018,Mexican,4/24/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,7.0,A,4/24/23,12/4/23,40.7539699,-73.986028
,,,,,,"119 west 40th street manhattan, ny 10018",DOS TOROS,119,WEST 40 STREET,Manhattan,10018.0,119 WEST 40 STREET Manhattan 10018,Mexican,3/23/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9.0,A,3/23/22,12/4/23,40.7539699,-73.986028
,,,,,,"119 west 40th street manhattan, ny 10018",DOS TOROS,119,WEST 40 STREET,Manhattan,10018.0,119 WEST 40 STREET Manhattan 10018,Mexican,3/23/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,3/23/22,12/4/23,40.7539699,-73.986028
,,,,,,"119 west 40th street manhattan, ny 10018",DOS TOROS,119,WEST 40 STREET,Manhattan,10018.0,119 WEST 40 STREET Manhattan 10018,Mexican,4/24/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,7.0,A,4/24/23,12/4/23,40.7539699,-73.986028
,,,,,,"1191 1st avenue manhattan, ny 10065",MAYA,1191,1 AVENUE,Manhattan,10065.0,1191 1 avenue Manhattan 10065,Mexican,1/11/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,1/11/22,12/4/23,40.7630515,-73.959479
,,,,,,"1191 1st avenue manhattan, ny 10065",MAYA,1191,1 AVENUE,Manhattan,10065.0,1191 1 avenue Manhattan 10065,Mexican,1/11/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,1/11/22,12/4/23,40.7630515,-73.959479
,,,,,,"123 east 110th street manhattan, ny 10029",EL PASO MEXICAN RESTAURANT,123,EAST 110 STREET,Manhattan,10029.0,123 east 110 STREET Manhattan 10029,Mexican,11/21/22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5.0,A,11/21/22,12/4/23,40.7951263,-73.945183
