Name,Formatted,Address,Author,Rating,Time,Review
Los Tacos No.1,"229 West 43rd Street, New York, NY 10036, USA","229 west 43rd street, manhattan, ny 10036",Minnieve,5,a month ago,"Was recommended by a friend that this places serves really good tacos and I was not disappointed. I had a beef and a marinated pork taco and they were yummy! It can get a little messy eating but it was worth it.

They take orders pretty quickly and serve up fast too. You just stand there and eat or take away. The chips with guacamole is good too. You can see and eat chunks of avocado."
Los Tacos No.1,"229 West 43rd Street, New York, NY 10036, USA","229 west 43rd street, manhattan, ny 10036",Zhi Wee,5,in the last week,"This is one of the best tacos in town. Went there on a weekday afternoon, with a little que but the order taking is fast. Collect your order ticket and hand over to the chef for preparation. You get to choose flour or corn taco,and the condiments. After collecting your food, toppings are available at the side. Tried their grilled steak and chicken tacos, flavorful and delicious. Will come back to try others for sure. There is plenty of standing area to enjoy your tacos in house."
Los Tacos No.1,"229 West 43rd Street, New York, NY 10036, USA","229 west 43rd street, manhattan, ny 10036",Anthony Gomez,5,2 months ago,"I had an amazing experience at Los Tacos No. 1 in Times Square, New York! The service was top-notch, and the food was absolutely delicious. Despite the long lines that stretched out the door, they moved surprisingly quickly. What's even better is that the prices were quite reasonable. I highly recommend this place for a fantastic taco experience in the heart of the city!"
Los Tacos No.1,"229 West 43rd Street, New York, NY 10036, USA","229 west 43rd street, manhattan, ny 10036",Paul “The Expert”,3,a week ago,"Tacos here were just OK. I don’t get what the hype is about. I had a lot better in Chicago for less money (at a family owned place). This place become a mass-production chain and that might be the reason?

While I did enjoy the food, I didn’t find it to be exceptional in any way. Staff were super friendly and efficient, it was cool to see them work.

Would I eat there again? Sure. But I would go of my path to get there."
Vida Verde,"248 West 55th Street, New York, NY 10019, USA","248 west 55th street, manhattan, ny 10019",Stephanie Mujica,5,4 weeks ago,"I loved this place, the food and drinks were fantastic.. the atmosphere was nice the music was good. If you want to meet with your friends this place is perfect. The decoration of the place is magnificent and the service was always very attentive. The prices are affordable and nothing exaggerated. I recommend? OF COURSE !!"
Vida Verde,"248 West 55th Street, New York, NY 10019, USA","248 west 55th street, manhattan, ny 10019",Lyl Rose,5,3 months ago,"We were in the mood for a festive dining experience that included margaritas and we hit the jackpot here. Super cool vibe. Very attentive service. Missed happy hour so go before 7pm. But we did get the Taco 🌮 Tuesday special & the tacos were fantastic. Enjoyed the chicken more than the carnitas. Sadly chips & salsa are not complimentary but ordering the guacamole was a good choice - delicious and a huge serving we couldn’t even finish.  Check out the rooftop bar too. Again, great vibe up there but limited views. Recommend!!"
Vida Verde,"248 West 55th Street, New York, NY 10019, USA","248 west 55th street, manhattan, ny 10019",Samelia J,5,3 months ago,"Great drinks! Food’s okay. It gets packed and loud real fast, so if you can make reservations, do that. The upstairs is usually a first come, first serve and I’ve visited twice and have never been lucky enough to snag a seat up there. Perfect for midweek happy hour.

Would recommend and return!"
Vida Verde,"248 West 55th Street, New York, NY 10019, USA","248 west 55th street, manhattan, ny 10019",Asia Carter,5,2 months ago,Went during the slower time which was very nice. Staff were great food came out in a good time. The chicken enchiladas are soo good my favorite thing on the menu it comes with beans and rice on the side
Vida Verde,"248 West 55th Street, New York, NY 10019, USA","248 west 55th street, manhattan, ny 10019",Mario Christianto,3,a month ago,"Just a typical Mexican restaurant in a touristy area. Nothing really noteworthy to report here. Well ok, their chips and salsa are decent. Their salads are ok with typical serving size. The atmosphere is geared more towards the young crowd, seems like a fun place if you were in your 20s and just want to have ok food with ok drinks with reasonable prices in NYC. You're here to have fun, not to have a gastronomical experience."
Tacuba Cantina Mexicana,"35-01 36th Street, Queens, NY 11106, USA","35-01 36th street, queens, ny 11106, usa",Hugo Coronado,2,2 months ago,"Excellent food, excellent atmosphere, excellent place, excellent service from everyone else, but our waiter was a disaster! Loose hair over the table taking our order, shuffling several papers while writing and, yes, of course! our order came all wrong, mixed and with things and ingredients we specially ask 3 times NOT put in the dish. A real pity."
Tacuba Cantina Mexicana,"35-01 36th Street, Queens, NY 11106, USA","35-01 36th street, queens, ny 11106, usa",George Espinal,4,6 months ago,"This establishment has been here for quite sometime and it never disappoints. Some of their menu items can be on the pricey end but nonetheless the food is delicious.

The decor is tasteful and accompanied with Latin/Hispanic music while you enjoy your meal and drink(s).

The waitress wasn’t as attentive and we couldn’t find her when we wanted more water or our bill. The food and beverage was pretty good. We hope to return to receive better service.

A community staple indeed. Establishment is rather large and can accommodate large parties of 6+"
Tacuba Cantina Mexicana,"35-01 36th Street, Queens, NY 11106, USA","35-01 36th street, queens, ny 11106, usa",Eduardo Martinez,5,3 months ago,"From the moment we walked into Tacuba, we knew we were in for a treat. The vibrant ambiance set the tone for an unforgettable dining experience. Our evening started with refreshing cocktails - the Paloma was a delightful burst of citrus, the Mojito was perfectly minty, and the Mezcal Piña Margarita had a smoky depth that was unparalleled.

For appetizers, we ventured into the Aguachile ($20) that was a symphony of flavors and freshness, the Elotes ($9) were grilled to perfection, the Nachos with Steak were a mountain of goodness, and the Queso Fundido with Chorizo was a molten pot of savory delight.

Our mains were equally impressive. The Pulpo and Chorizo Tacos brought the ocean and land together in a mouthwatering combo, while the Chicken Fajitas were sizzling and packed with flavor. The Green Chicken Enchiladas were a comforting dish, wrapped in a beautifully tangy sauce.

We ended our meal with the Flan - a creamy, caramel-rich conclusion to a fantastic meal. Everything we tasted was delicious and left a lasting impression. Highly recommend Tacuba for anyone seeking an authentic and exquisite Mexican culinary journey!"
Tacuba Cantina Mexicana,"35-01 36th Street, Queens, NY 11106, USA","35-01 36th street, queens, ny 11106, usa",Abranny Djss,5,a month ago,"Pulpo chorizo tacos were delicious, the pineapple cadillac with mezcal was perfection, first time trying Agua Chile and it was sooo good I had to put a shot of mezcal in there and drank it 🤣 our bartender Dani was really friendly and attentive.
Definitely coming back, btw the place is HUGE."
Tacuba Cantina Mexicana,"35-01 36th Street, Queens, NY 11106, USA","35-01 36th street, queens, ny 11106, usa",Sandra Becerril,3,in the last week,"After many years, I came back to this restaurant, but unfortunately the taste of food is so bad, flavorless.
The service and cocktails are the best only!"
Toloache,"251 West 50th Street, New York, NY 10019, USA","251 west 50th street, manhattan, ny 10019",Li S,5,5 months ago,"Excellent...all around. We had brunch there before a Broadway show. Not only was the food fresh and tasty. Pretty authentic in my experience. (Not overly salted, but plenty of subtle flavors in the guac trio and tacos -- which my girl friend and I shared). The vegetarian tacos were the best in my opinion. The brisket tacos were too fatty for my taste, but if you like that, you'll enjoy.
The restaurant itself was nicely decorated -- loved the walls & art, and the layout is tight, but cozy. It was absolutely perfect for our catch-up girl date! (Very small restroom, with tiny changing table, not sure if there was another restroom upstairs.)
The margaritas are super! Complexity of salt & sweet and mildly spicy.
The most surprising positive was the service, they were attentive, but once they heard this was a ""catch-up"" brunch, the waitress was so careful to ""look over"", but not interrupt. However, once when we were trying to get her attention, but she was occupied, the hostess made sure we had what we needed.
Excellent, absolutely recommend!"
Toloache,"251 West 50th Street, New York, NY 10019, USA","251 west 50th street, manhattan, ny 10019",Running Man,4,2 months ago,"Dinner was fun though the restaurant is really noisy. Upstairs was packed (good for business!) but seating was cramped. Downstairs would have been better on our view.
Foodwise everything was quite good. Tacos were nice and the special seafood dish with octopus was excellent. Dessert was good too!"
Toloache,"251 West 50th Street, New York, NY 10019, USA","251 west 50th street, manhattan, ny 10019",Gülhan,2,a month ago,"Tortillas couldn’t hold toppings so it was messy to eating them. They charged $30 for dessert sample plate which includes bite size of 3 cakes and 3 mini churros. Desserts are $10 for full portion so really pricey.
Food is okay nothing special in my opinion."
Toloache,"251 West 50th Street, New York, NY 10019, USA","251 west 50th street, manhattan, ny 10019",Ajay Parekh,4,3 months ago,"Don’t hesitate, great Mex food and restaurant. Two of us sat at the bar, it was busy as expected. I had the tortilla tomato soup which was amazing, the veggie enchilada was good but felt like I was missing the rice and beans."
Toloache,"251 West 50th Street, New York, NY 10019, USA","251 west 50th street, manhattan, ny 10019",Cary Pool,5,6 months ago,"Wonderful restaurant, the food and drinks were unique and delicious. Best carne asada tacos ever, very tender and flavorful. Enjoyed the tres guacamoles as a family had something for everyone. The margarita was well made, however I recommend you get the mezcalitas instead for a more unique experience. Don't normally recommend cod but the bacalao trufado mushrooms were very nicely paired with the mezcalitas de piña."
MEXiCUE,"1440 Broadway, New York, NY 10018, USA","1440 broadway, manhattan, ny 10018",Khay Bee,5,4 months ago,"I would recommend making a reservation, they were pretty busy and we had to sit near the doors which isn’t a big issue. The place was assume! Our server was helpful with recommendations and the service was fast and quality. The food and drinks had all the flavor you’d hope for. I’d definitely recommend and return again. Thanks for a great experience!"
MEXiCUE,"1440 Broadway, New York, NY 10018, USA","1440 broadway, manhattan, ny 10018",Greeshma M,4,3 months ago,Starters and drinks were great! The fire roasted creamy corn dip was a hit. There were some really good vegetarian options. Some of our entrees were ok...The place had a good vibe!
MEXiCUE,"1440 Broadway, New York, NY 10018, USA","1440 broadway, manhattan, ny 10018",Maria Georgiadis,5,4 months ago,First time here and had a great experience. You can mix your tacos. I ordered the shrimp and pork and both were delicious. The nachos was an generous sharing size and so delicious!
MEXiCUE,"1440 Broadway, New York, NY 10018, USA","1440 broadway, manhattan, ny 10018",Leslie Esquivel,5,3 weeks ago,"We came here randomly while in NYC. We arrived around 5:00pm and didn’t have a reservation but we’re able to be seated at either the window bar table or a high top. We chose the high top table. If you choose this option just note the tables are super small, the chairs have no back support and there are no hooks to hang purses or coats. This was the main reason I gave the “atmosphere” 4 stars. I had to eat with my purse on my shoulder and hat and coat in my lap.

It was still happy hour and we were super happy to see that the house margarita (pictured) was discounted. It was a very well balanced margarita. Not too sweet or sour.

I ordered the wild mushroom quesadilla and lorrrrrd have mercy they were delightful!! It was hands down THE BEST vegetarian dish I’ve ever had. We will deff be back next time we are in the city and craving a wonderful margarita and Mexican food."
MEXiCUE,"1440 Broadway, New York, NY 10018, USA","1440 broadway, manhattan, ny 10018",Tasha Morris,4,4 months ago,"Our bartender was friendly and attentive.  Drinks and tacos were tasty.
The restaurant is small so it's not easy getting a seat even on the weekends.
The C rating was a bit concerning but I will give it another shot."
Mamasita Bar & Grill,"818 10th Avenue, New York, NY 10019, USA","818 10th avenue, manhattan, ny 10019",Tanya Circosta,5,4 months ago,This is a fantastic place for Mexican food. We chose it based on Google reviews and it didn’t disappoint. The owner is friendly and service is fast. The food is delicious and authentic. Definitely worth going to this part of the city for a great dinner. Great selection of vegetarian meals too.
Mamasita Bar & Grill,"818 10th Avenue, New York, NY 10019, USA","818 10th avenue, manhattan, ny 10019",purplebluedreams,5,3 months ago,"Drinks are strong and amazing. The food is good too, and they give you great portion sizes. Be careful, though. When  you hit that third margarita, and you might need an Uber home lol. The drinks are huge from 12oz to a pitcher.

The staff is so nice and we met the owner. He gave us free dessert. Nice man. Can't wait to go back again."
Mamasita Bar & Grill,"818 10th Avenue, New York, NY 10019, USA","818 10th avenue, manhattan, ny 10019",Melanie Luciano,5,3 months ago,"The Music was vulgar. Food was amazing.  Waitress was hard to find. We wanted to order dessert, but after waiting 20+ minutes just to see the waitress and have her dismiss us, I asked if we could at least get the check. I would understand if the place was crowded, but it was empty. It's a shame, this had been our favorite restaurant for more than 2 years. I hope the owner makes changes, the staff you hire can make or break you."
Mamasita Bar & Grill,"818 10th Avenue, New York, NY 10019, USA","818 10th avenue, manhattan, ny 10019",Toya Brown,5,3 months ago,"I came to Mamasita to have a drink for my birthday and stayed for the experience. The food was awesome and the variety of margaritas was was very delicious, they even allow you to sample different flavors. I will definitely come back again. They were so welcoming they have a forever customer for life. 💜💜"
Mamasita Bar & Grill,"818 10th Avenue, New York, NY 10019, USA","818 10th avenue, manhattan, ny 10019",Rohit Sukumaran,5,4 months ago,"Nice little restaurant in the heart of NYC. My family and I stopped by for lunch on a Sunday. The owner and staff went to great lengths to make sure all our needs were met.

The food was absolutely delicious (best Guacamole and chips I've had till date). The establishment is Indian owned and some of the Mexican dishes have a slight Indian twist to them. For anyone touring or living in NYC who hasn't visited this place, I highly recommend it!"
Sinigual,"640 3rd Avenue, Manhattan, NY 10017, USA","640 3rd avenue, manhattan, ny 10017",Dani S,5,3 weeks ago,"This place was wonderful.  The service from the moment we walked in was top tier. Our server was so personable and also made great suggestions.  The food was delicious, however, our steaks were a bit over cooked. Experience was too positive to make an issue so we just ate it. Would visit again."
Sinigual,"640 3rd Avenue, Manhattan, NY 10017, USA","640 3rd avenue, manhattan, ny 10017",Rodolphe Ghossoub,4,3 months ago,"Very nice place. We usually go on happy hours and we are never disappointed. They offer great cocktails.
Food is also delicious, all the starters maim dishes and salads are so good.
Love the general ambiance"
Sinigual,"640 3rd Avenue, Manhattan, NY 10017, USA","640 3rd avenue, manhattan, ny 10017",kamo ochoa,5,a month ago,"I made a reservation for last night and throughout the meal, my server Luigi  anticipated my needs before I even had to ask. My water glass was always full, my food came out quickly, and he checked in at just the right times. With my family we decided to ask for a table side guacamole to start and for the main course our server convinced us to ask for the combos of four , we highly recommend choose the steak taco and the tamales. Luigis friendly personality also enhanced the dining experience

By the end of the meal, I was thoroughly impressed by the top-notch service. The food was delicious, but Luigi’s  attentiveness and charm made the night extra special. I will definitely be returning to SinIgual and requesting him  again - he is an asset to the restaurant. I cannot recommend this gem of a restaurant or Luigi’s  incredible service highly enough!"
Sinigual,"640 3rd Avenue, Manhattan, NY 10017, USA","640 3rd avenue, manhattan, ny 10017",Angelica,3,3 months ago,"Service was okay but the food makes up for it!! I love going here for lunch but for some reason I never leave feeling like I drank anything but water and I once hung out for 5 hours , shots and god knows how many drink later .

My go to is : SHRIMP DIABLA
grilled shrimp, orange-achiote and jalapeño butter sauce, seasonal vegetables, cilantro-pasilla rice, sweet corn cake or

FILET MIGNON ENCHILADAS & GRILLED SHRIMP 37
filet mignon enchiladas, mushrooms, chipotle sherry sauce, grilled shrimp, seasonal vegetable skewer,black beans, cilantro-pasilla rice."
Sinigual,"640 3rd Avenue, Manhattan, NY 10017, USA","640 3rd avenue, manhattan, ny 10017",Michelle Yang,5,a month ago,Delicious Mexican food in the Midtown East area. Perfect for after-work casual dinners. Large portions so expect to feel very full!
Dos Caminos,"1567 Broadway, New York, NY 10036, USA","1567 broadway, manhattan, ny 10036",Eric Walters,4,4 months ago,"I ordered the chicken fajitas that were very good but a little skimpy on the rice, beans and tortillas for a $30 meal. Very loud at peak hours but a cool vibe.  Server kept us waiting and we had to ask others for water refills and for the bill. No free chips and salsa but worth the $5 to get their salsa that had a heavy garlic flavor. Dessert was a disappointment which was the chocolate lava and ice cream. Small and not that good."
Dos Caminos,"1567 Broadway, New York, NY 10036, USA","1567 broadway, manhattan, ny 10036",Art Fernandez,5,a month ago,"Stopped by Dos Caminos for a work luncheon.  Two of us orderred sizzling fajitas , other people ordered the birria tacos and steak/ cheese fajitas.  The chips and guacamole and all of our lunch meals were fantastic and it's a  beautiful location.
Thank you for a very pleasant afternoon."
Dos Caminos,"1567 Broadway, New York, NY 10036, USA","1567 broadway, manhattan, ny 10036",Connor Glanzman,4,a week ago,"The atmosphere and food was excellent, the only complaint I have was with the amount of steak we received for our sizzling fajitas. Overall, really great spot for drinks and a quick dinner."
Dos Caminos,"1567 Broadway, New York, NY 10036, USA","1567 broadway, manhattan, ny 10036",Isaura Lahoz,4,a month ago,"First time eating here. I came in through the back door I guess, but I didn’t know it wasn’t the main entrance my bad. Two girls by the bar didn’t greet me nor guide me anywhere so I asked another lady there and she told me I had to ask the bartender then I asked them if I could seat facing the street, and one of the girls brought me the menu for the food only but not the drinks but Francisco was kind enough to bring it to me and he recommended GUAVA COCO BLOSSOM which it was so good. The food was excellent, I loved the nachos. Francisco was my server and he was so nice and courteous. I might give Dos Caminos another chance because I love food and the drinks were excellent."
Dos Caminos,"1567 Broadway, New York, NY 10036, USA","1567 broadway, manhattan, ny 10036",Derek Beckman,4,a month ago,"Dos Caminos is conveniently located in Times Square and it is what you would expect of a chain restaurant (if even not one). Food was fine but it was a get ‘em in, get ‘em fed, and get ‘em out type feeling and atmosphere.  It is good if you are in a hurry and need some Mexican food but there are likely better options if you are looking for something more traditional."
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",Max Bou,4,2 months ago,"My wife and I went there for the first time, and now we made it one of our favorite places to go. I recommend it.  Good food, great service and the price is very fair."
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",Ritik Patel,4,a month ago,"Pretty good food, the waitress was really nice and patient. The atmosphere was lively. Had a birthday celebration, staff came and sang happy birthday, didn't let us keep the Sombrero unfortunately."
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",noa kahana,5,a week ago,"I've been here 3 times already and absolutely LOVE it!
We ordered the peanut butter and jelly margarita and the viva nuts margarita both on the sweeter side and delicious. Then we ordered the platter in the picture. It came with chicken, carne asada, shrimp, sausage, melted cheese and roasted peppers, all in a delicious sauce that wasn't spicy at all - for me that was perfect.
The waitress was smiling and so pleasant! Great music made us dance in our seats.
Just a great place overall!"
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",Diony Tavarez,5,3 months ago,"Exceptional Mexican cuisine meets meticulous attention to detail. The authentic decor harmoniously aligns with their outstanding margaritas. With its reasonable prices and vibrant atmosphere, this venue is an essential destination for those seeking a genuine Mexican culinary journey."
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",Lady V,5,2 months ago,Food was delicious. Server was on top of everything. Very nice place. Would go back if ever in town again.
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Vashti,4,a month ago,"My intention was to grab a quick bite to go but I ended up eating at the bar.  Staff was friendly, atmosphere was lively and the taco was good.  The green and red sauce was everything. I’ve been meaning to return whenever I’m in the neighborhood."
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Casey Blake,5,4 months ago,I haven't been here since my brother passed but now this place has a special place in my heart. The food is really good and the drinks are balanced well. It's really simple and feel-good food for whenever you just want to have something quick or dine in.
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Caroline Elsas,5,2 weeks ago,"I hosted a party of 10 people for a lunch on a weekday. Everything from the service to the food was phenomenal. The staff went out of their way to make us feel welcome and prepare for our lunch get together. Everyone had a great time, and the food was delicious. We got guac and chips for the table and a variety of different entrées. Elaina is an amazing waitress. Thank you!"
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Yam Yam,5,2 months ago,Ordered a gordita. It was good.
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Fendy ho,5,3 months ago,"Absolutely love this authentic place! Came by myself one day and got their tacos and ceviche with a warning that the ceviche was quite big for one person (they were looking out for me!) but I told them that I love ceviche. They served me complimentary chips for dine in and the staff were so kind and delivered excellent service! When my ceviche came, they did not exaggerate 😂 as a small woman, I was scared I wouldn’t be able to finish but it was delicious and refreshing that I ate it all in one sitting! Additionally, watching the guy work at the bar was interesting and I found it so respectable for him to work so quickly and continuously! I have such high respect for the workers at this restaurant and saw how they were patient and took their time to explain each dish to someone, even if they were talking to the customer through another customer’s phone! 🥰"
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Franklin Bonilla,5,3 months ago,"Looking for a place to eat, I stopped by this restaurant at random and I'm so glad I did. Service was friendly from the beginning and while small, it can accommodate groups and it's also kid friendly with space to park a stroller and high chairs available. Food and drinks came out quick and everything was delicious. I agree with everyone that this is one of the best places for drinks. Nothing watered down here. I left totally satisfied and highly recommend this restaurant."
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Dylan Li,2,3 months ago,"2.5 stars:
Ordered some tacos to share, and $11.50 felt high for two small tacos. The barbacoa taco was tough and dry without much flavour, and the chicken taco didn't have much flavour either. The shrimp taco was good though. The three tacos were not filling enough, and for ~$22 after tax and automatic 20% tip, it was definitely not worth it"
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Kyle McCarthy,4,6 months ago,"Fun semi fast food Mexican joint, cousin of the one on UES. Good tacos, nice quesadilla with huitlacoche, a Mexican mushroom you don't often see. Very nice staff..  they pretty much take the order and disappear till it's ready. Street is very noisy for outdoor dining but the interior is very open and airy.   Good midtown in-a-rush choice"
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Sara McAuley,5,4 months ago,Chorizo quasidilas and chicken tacos were really good. Steak tacos were insanely hot (spicy) and we loved it! Great atmosphere! Didn't like the guacamole. Some sour cream and salsa for the quasidilas would have made it perfect.
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Lucas Cardozo,5,6 months ago,"Probably the best tortilla I ever had. The coconut flan was delicious! Cozy place, great staff!"
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Eduardo,5,in the last week,"This place is awesome! Shrimp tacos are so good, and the oysters are super fresh. If you're around Chelsea Market, you gotta check it out. And hey, don't forget to snag a Margarita – you won't regret it! 🌮🍹"
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Abigail Smith,5,a month ago,"Came by with a friend for a quick dinner in the afternoon. We were quickly attended too, the cashier gave advice about the options. We had the shrimp and fish tacos along with a margarita. The food came out quickly, was delicious and well priced. They also had shrimp broth for free which was yummy. Recommend for small groups, seating outside for larger groups as well."
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Sandra Park,5,4 months ago,"The best seafood tacos I’ve tasted! I’ve been coming here since 2017 and they have been consistent with their food quality. You can see they make their own corn tortillas in their kitchen, they have amazing free shrimp broth you can ask for, and all the food is so fresh and flavorful. The salsa that comes with the chips pack a punch so proceed with caution!"
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Meg G.,5,2 weeks ago,"Genuinely love this place so much! As a predominant pescatarian who loves tacos and authentic Mexican food, this is lowkey one of my favorite places to get tacos in NYC!! Also, a major Clamato lover, spicy and amazing with a tamarind coated straw 😍!! Oyster shots, great selection of tequila/mezcal at the bar as well. 10/10 recommend!"
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Andrew Dabydeen,5,3 weeks ago,"Awesome spot to grab fish tacos and ceviche with no frills. If you’re in Chelsea market, it might be a little hard to find but if you’re outside, you can spot it easily. The drinks were delicious but the shrimp ceviche really stood out to us. Reasonably priced and a fun environment. Would definitely come back sometime soon!"
Dos Toros Taqueria,"52 West 52nd Street, New York, NY 10019, USA","52 west 52nd street, manhattan, ny 10019",Arden,4,2 weeks ago,"Very good, generous and better value than Chipotle. It has more options too - including more salsa, avocado crema and pickled onions. We had this one a couple hours after buying it so it’s probably not fair but I’m not sure I like it more than chipotle, it is probably on par or just below for me. The rice was a bit worse as I prefer lime to tomato rice. But also the hot salsa didn’t pack much of a punch. But I would definitely eat it again and the service was super good and restaurant was cute as well. Can’t comment on the chips but they looked good."
