#,Name,Rating,Phone,Price,Categories,Address
19,Casa Bocado,4.5,12122047502,,"Mexican, Latin American, Cocktail Bars","341 broome street, manhattan, ny 10013"
20,La Contenta,4.5,12124324180,$$,"Mexican, Bars, Breakfast & Brunch","102 norfolk street, manhattan ny 10002"
21,Ruta Oaxaca Mexican Cuisine,4.5,19293491228,$$$,"Mexican, Breakfast & Brunch, Cocktail Bars","35-03 broadway, astoria, ny 11106"
22,Taquito,4.5,16468686000,,Tacos,"96 south street manhattan, ny 10038"
23,345 Cantina,4.5,13478487734,,"Mexican, Cocktail Bars, Breakfast & Brunch","345 east 6th street, new york, ny 10003"
24,Chela Park Slope,4.5,17187011891,$$,"Mexican, Cocktail Bars, Breakfast & Brunch","408 5th avenue, brooklyn, ny 11215"
25,Taqueria al Pastor,4.5,17182697538,$,Tacos,"128 wyckoff avenue, brooklyn, ny 11237"
26,Taqueria Casa Imelda,4.5,13474575992,,Mexican,"82 s 4th street, brooklyn, ny 11249"
27,Bar Lula,4.5,12127277900,,"Cocktail Bars, Mexican, Latin American","132 1st avenue, manhattan, ny 10009"
28,Taqueria Mariposa Rosa,4.5,19173593254,,"Tacos, Cocktail Bars","55 grove street, manhattan, ny 10014"
29,Fonda Tribeca,4.5,19172616950,$$$,Mexican,"139 duane street, new york, ny 10013"
30,Sobre Masa,4.5,13478442343,,"Mexican, Cocktail Bars","52 harrison place, brooklyn, ny 11237"
31,Taqueria Nixtamal,4.5,19176004732,,Tacos,"115 delancey street, manhattan, ny 10002"
32,Xixa,4.5,17183888860,$$$,"Mexican, Tapas/Small Plates, Cocktail Bars","241 south 4th street, brooklyn, ny 11211"
33,Superbueno,4.5,,,"Mexican, Cocktail Bars","13 1st avenue, manhattan ny 10003"
34,Bar Verde,4.5,12127776965,$$,"Mexican, Vegan, Gluten-Free","65 2nd avenue, manhattan, ny 10003"
35,Jajaja Mexicana,4.5,18604792872,$$,"Mexican, Vegan, Cocktail Bars","119 kent avenue, brooklyn, ny 11249"
36,De Mole,4.5,13477213399,,"Mexican, Breakfast & Brunch, Cocktail Bars","2 hope street, brooklyn, ny 11211"
37,Mictlan Mexico,4.5,19174095553,$$,Mexican,"17 orchard street, manhattan, ny 10002"
38,Nacho Macho Taco,4.5,17186228282,$,Mexican,"82 5th avenue, brooklyn, ny 11217"
39,Jajaja Mexicana,4.5,19177228419,,"Mexican, Bars","450 west 33rd street, manhattan, ny 10001"
40,Purepecha,4.5,13479161227,$$,Mexican,"213 smith street, brooklyn, ny 11201"
41,Bar San Miguel,4.5,17185763852,$$,"Mexican, Cocktail Bars, Venues & Event Spaces","307 smith street, manhattan, ny 11231"
42,Yellow Rose,4.5,12125298880,,Tex-Mex,"102 3rd avenue, manhattan, ny 10003"
43,Vida Verde,4.5,16466570565,$$,"Cocktail Bars, Mexican, Venues & Event Spaces","248 west 55th street, manhattan, ny 10019"
44,Bosco,4.5,,,"Cocktail Bars, Mexican, Breakfast & Brunch","169 bleecker street, manhattan, ny 10012"
45,Mona Ayala Mexican Market And Food,5,13473655954,,Mexican,"746 myrtle avenue, brooklyn, ny 11205"
46,Domingo's at The Woods,5,13473313478,,"Mexican, American","48 s 4th street brooklyn ny, new york, ny 11249"
47,El Diablito Taqueria,4,16466929268,$,Mexican,"60 east 3rd street, manhattan, ny 10003"
48,Taqueria Al Pastor,4,13472944381,$$,Mexican,"119 court street, brooklyn, ny 11201"
49,The Cactus Shop,4,13477498474,$$,"Cocktail Bars, Speakeasies, Mexican","231 kent avenue, brooklyn, ny 11249"
50,La Contenta Oeste,4,12125332233,$$,"Mexican, Breakfast & Brunch, Cocktail Bars","78 west 11th street, manhattan, ny 10011"
51,Arre Sinaloa,5,12014309897,,Mexican,"4605 park avenue, union city, nj 07087"
52,Ayy Chihuahua,5,13476491023,,"Mexican, Cocktail Bars","36-16 ditmars boulevard, queens, ny 11105"
53,Cascalote,5,19172658577,,"Mexican, Latin American","1712 2nd avenue, manhattan, ny 10128"
54,Jajaja Mexicana,4.5,16468835453,$$,"Mexican, Vegan, Bars","162 east broadway, manhattan, ny 10002"
55,Alma Negra,4.5,,,"Mexican, Cocktail Bars, Salad","494 4th avenue, brooklyn, ny 11215"
56,Jajaja Mexicana,4.5,19172620184,$$,"Mexican, Vegan, Cocktail Bars","63 carmine street, manhattan, ny 10014"
57,Tacos Los Poblanos,4.5,13476412092,$,"Mexican, Food Trucks","5320 5th avenue, brooklyn, ny 11220"
58,Frida Midtown,4.5,12126885200,$$$,"Mexican, Peruvian, Cocktail Bars","214 east 52nd street, manhattan, ny 10022"
59,Bar Bruno,4.5,17183890011,$$,"Bars, Mexican","560 manhattan avenue, brooklyn, ny 11222"
60,Birria LES,4.5,,,Tacos,"34 saint marks place, manhattan, ny 10003"
61,Molcajetes,4.5,12012009390,,Mexican,"520 west side avenue, jersey city, nj 07304"
62,Nenes Taqueria,4.5,19296074551,,Mexican,"660 degraw street, brooklyn, ny 11217"
63,Tacombi,4.5,17185993496,$$,Mexican,"242 metropolitan avenue, brooklyn, ny 11211"
64,Tacoria,4.5,12017929041,$$,Tacos,"24-26 erie street, jersey city, nj 07302"
65,Nai,4.5,12126771030,$$$,"Tapas/Small Plates, Spanish","84 2nd avenue, manhattan, ny 10003"
66,Las Santas,4,17182225919,$$,"Mexican, Cocktail Bars, Breakfast & Brunch","572 fulton street, brooklyn, ny 11217"
67,Oxomoco,4,16466884180,$$$,Mexican,"128 greenpoint avenue, brooklyn, ny 11222"
68,Claro,4,13477213126,$$,"Mexican, New Mexican Cuisine, Cocktail Bars","284 3rd avenue, brooklyn, ny 11215"
69,Taqueria St. Marks Place,4,16469645614,$$,Mexican,"79 saint marks place, manhattan, ny 10003"
70,Casa Enrique,4,13474486040,$$,Mexican,"5-48 49th avenue, long island city, ny 11101"
71,Covacha,4,12127122929,$$,Mexican,"368 columbus avenue, manhattan, ny 10023"
72,Mermaid Mexicana,4,12124008800,,Mexican,"79 macdougal street, manhattan, ny 10012"
73,Acapulco Restaurant,4,17183498429,$,"Mexican, Sandwiches, New American","1116 manhattan avenue, ste 2-l, brooklyn, ny 11222"
74,De Mole,4,17183922161,$$,Mexican,"4502 48th avenue, woodside, ny 11377"
75,Boqueria Soho,4,12123434255,$$,"Spanish, Tapas Bars, Tapas/Small Plates","171 spring street, manhattan, ny 10012"
76,Alta Calidad,4,17186221111,$$,Mexican,"552 vanderbilt avenue, brooklyn, ny 11238"
77,El Zason,4,17186832217,$$,Mexican,"491 atlantic avenue, brooklyn, ny 11217"
78,Jefe Tacos,4,17183049979,,Tacos,"445 albee square west, brooklyn, ny 11201"
79,Taqueria Mexico 2000,4,17183959985,,Mexican,"131 grand street, brooklyn, ny 11249"
80,Panzón,4,,,Mexican,"23 greenpoint ave, brooklyn, ny 11222"
81,Tacombi,4,19172617136,$$,"Mexican, Cocktail Bars, Breakfast & Brunch","74 broad street, manhattan, ny 10004"
82,SOL Mexican Cocina,4,12126217671,,"Mexican, Bars, Breakfast & Brunch","220 5th avenue, manhattan, ny 10001"
83,Anejo Tribeca,4,12129206270,$$,"Mexican, Tapas/Small Plates, Tapas Bars","301 church street, manhattan, ny 10013"
84,El Vez Burrito Bar,4,12122332500,$$,"Mexican, Salad, Breakfast & Brunch","259 vesey street, manhattan, ny 10282"
85,Seeyamañana,4,19173741682,,"Mexican, Cocktail Bars","49 west 27th street, manhattan, ny 10001"
86,Tacovision,4,16469211990,$$,"Tacos, Tapas/Small Plates, Cocktail Bars","244 east 53rd street, manhattan, ny 10004"
87,DORADO Tacos & Quesadillas,4,12126270900,$,"Mexican, Gluten-Free","28 east 12th street, manhattan, ny 10003"
88,Xochitl Taqueria,4,13475992226,,Mexican,"176 smith street, brooklyn, ny 11201"
89,Tacos Morelos,4,16464049080,$,"Mexican, Food Trucks, Soup","183 bedford avenue, brooklyn, ny 11222"
90,Taqueria Tepango,4,17186368878,$,Mexican,"568 myrtle avenue, brooklyn, ny 11205"
91,MEXiCUE,4,13322633200,$$,Mexican,"225 5th avenue, manhattan, ny 10010"
92,Cafe Habana,4,12126252001,$$,"Cuban, Mexican","17 prince street, manhattan, ny 10012"
93,Javelina,5,19177812224,,"Mexican, Salad, Steakhouses","30 vandam street, manhattan, ny 10013"
94,Tortilleria Mexicana Los Hermanos,4,17184563422,$,Mexican,"271 starr street, brooklyn, ny 11237"
95,Toloache 50,4,12125811818,$$$,Mexican,"251 west 50th street, manhattan, ny 10012"
96,tán,4,19173882248,,"Latin American, Mexican","209 east 49th street, manhattan, ny 10017"
97,Leyenda,4,13479873260,$$,"Latin American, Mexican, Cocktail Bars","221 smith street, brooklyn, ny 11201"
98,Mesa Coyoacan,4,17187828171,$$,"Mexican, Bars","372 graham avenue, brooklyn, ny 11211"
99,Mcondo Tacos,4,19176991090,$$,"Mexican, Bars, Breakfast & Brunch","502 grand street, brooklyn, ny 11211"
100,Luchadores,4,19174093033,$$,Mexican,"87 south street, manhattan, ny 10038"
101,El Mexicano Restaurante & Cafe,5,19177899823,,"Mexican, Juice Bars & Smoothies, Fast Food","1013 east 14th street, brooklyn, ny 11230"
102,Tampico NYC,5,,,"Mexican, Sports Bars, Cocktail Bars","10 delancey street, manhattan, ny 10002"
103,Los Tacos No. 1,4.5,,$$,Tacos,"136 church street, manhattan, ny 10007"
104,Mi Mariachi Taqueria,4.5,12012221998,$,Mexican,"213 sip avenue, jersey city, nj 07306"
105,Tacoomar,5,13474576171,,"Tacos, Desserts, Salad","227 prospect park west, brooklyn, ny 11215"
106,Tamale Lady,5,,$,"Mexican, Food Stands","37 east 39th street, manhattan, ny 10016"
107,Amaranto Mexican Restaurant,4.5,17185766001,$$,Mexican,"887 hart street, brooklyn, ny 11237"
108,Summer Salt,4.5,12122090648,,"Tacos, New Mexican Cuisine","30 east 23rd street, manhattan, ny 10010"
109,Despaña Fine Foods & Tapas Cafe,4.5,12122195050,$$,Spanish,"408 broome street, manhattan, ny 10013"
110,Antojito Mexicano,4.5,,$,"Mexican, Food Stands","6th avenue & 28th street, manhattan, ny 10001"
111,Guevara's,4.5,,,"Vegan, Coffee & Tea, Mexican","319 kent avenue, manhattan, ny 11249"
112,Tiny's Cantina,4.5,17189707007,$$,"Mexican, Cocktail Bars","229 flatbush avenue, brooklyn, ny 11217"
113,Panchitas Place,4.5,19179090404,$$,"Bars, Breakfast & Brunch, Mexican","709 5th avenue, brooklyn, ny 11215"
114,Grand Canyon Restaurant,4.5,13478896670,$$,"American, Mexican, Diners","143 montague street, brooklyn, ny 11201"
115,El Jeffe,4.5,13473658919,$$,New Mexican Cuisine,"1483 fulton street, brooklyn, ny 11216"
116,For All Things Good,4.5,,$$,"Cafes, Mexican","343 franklin avenue, brooklyn, ny 11238"
117,Miti Miti,4,17182303760,$$,"Latin American, Mexican, Breakfast & Brunch","138 5th avenue, brooklyn, ny 11217"
118,Super Burrito,4,13475990533,,Tacos,"320 bedford avenue, brooklyn, ny 11249"
119,Ponche Taqueria & Cantina,4,12125811235,$$,Mexican,"420 west 49th street, manhattan, ny 10019"
120,Tacos El Bronco,4,17187882229,$$,"Mexican, Seafood, Cocktail Bars","4324 4th avenue, brooklyn, ny 11220"
121,Casa Publica,4,17183883555,$$$,"Mexican, Cocktail Bars, Breakfast & Brunch","594 union avenue, brooklyn, ny 11211"
122,16 de Septiembre,5,,,"Food Trucks, Mexican","1524 2nd avenue, manhattan, ny 10075"
123,The Taco Bar,4.5,,,"New Mexican Cuisine, Tacos, Cocktail Bars","312 tompkins avenue, manhattan, ny 11216"
124,EL Burrito Box,4,12124896889,$$,"Mexican, Tex-Mex","885 9th avenue, manhattan, ny 10019"
125,Toro Loco,4,19172620444,$$,"Cocktail Bars, Mexican, Breakfast & Brunch","15 stone street, manhattan, ny 10004"
126,Mayamezcal,4,12122535888,$$,"Mexican, Cocktail Bars","304 east 6th street, manhattan, ny 10003"
127,Yuca Bar,4,12129829533,$$,"Latin American, Tapas Bars, Cocktail Bars","111 avenue a, manhattan, ny 10009"
128,Chavela's,4,17186223100,$$,"Mexican, Bars","736 franklin avenue, brooklyn, ny 11238"
129,B'klyn Burro,4,17186228776,$$,Mexican,"922 fulton street, brooklyn, ny 11238"
130,Pink Taco,4,12123158226,$$,"Tacos, Bars, Breakfast & Brunch","7 times square, manhattan, ny 10036"
131,Taqueria Gramercy,4,16463706435,$$,"Bars, Tacos","218 3rd avenue, manhattan, ny 10003"
132,El Camion,4,12125335436,$$,Mexican,"194 avenue a, manhattan, ny 10009"
133,Street Taco,4,16467915413,$$,"Cocktail Bars, Tacos, Beer Bar","358 3rd avenue, manhattan, ny 10016"
134,MEXiCUE,4,13322498600,$$,Mexican,"1440 broadway, manhattan, ny 10018"
135,Rosie's,4,12123350114,$$,Mexican,"29 east 2nd street, manhattan, ny 10003"
136,Bar Tulix,4,12123347320,,"Mexican, Seafood","25 west houston street, manhattan, ny 10012"
137,El Parador Cafe,4,12126796812,$$$,"Mexican, Venues & Event Spaces, Cocktail Bars","325 east 34th street, manhattan, ny 10016"
138,Tacombi,4,16469645984,$$,"Juice Bars & Smoothies, Tacos","255 bleecker street, manhattan, ny 10014"
139,Barrio Chino,4,12122286710,$$,"Mexican, Bars","253 broome st, manhattan, ny 10002"
140,Orale Mexican Kitchen,4,12013330001,$$,"Mexican, Cocktail Bars","341 grove st, jersey city, nj 07302"
141,El Mexicano Restaurant & Coffee,4,17186762700,$,Mexican,"2102 east 15th street, brooklyn, ny 11229"
142,Havana Central,4,12123987440,$$,"Cuban, Latin American, Wine Bars","151 west 46th st, manhattan, ny 10036"
143,Bar Bruno,4,13477630850,$$,"New American, Mexican, Bars","520 henry street, brooklyn, ny 11231"
144,Casa Carmen,4,19175405500,,Mexican,"114 franklin street, manhattan, ny 10013"
145,Fonda Park Slope,4,17183693144,$$$,"Mexican, Salad, Breakfast & Brunch","434 7th avenue, brooklyn, ny 11215"
146,Toloache 82nd,4,12128614505,$$$,"Mexican, Tex-Mex","166 east 82nd street, manhattan, ny 10028"
147,Aldama,4,19292980233,,"Mexican, Cocktail Bars","91 south 6th street, brooklyn, ny 11249"
148,Ofrenda,4,12129242305,$$,"Mexican, Breakfast & Brunch","113 7th ave south, manhattan, ny 10014"
149,Mezcali,4,19174095881,$$,"Tacos, Tapas/Small Plates, Cocktail Bars","83 maiden lane, manhattan, ny 10038"
150,Mad Dog & Beans Mexican Cantina,4,16469985722,$$,Mexican,"5 east 38th street, manhattan, ny 10016"
